ENOG410VA9E	ENSP00000351790, ENSP00000425556	ENSPTRP00000028462, ENSPTRP00000046961
ENOG410V9CU	ENSP00000312981	ENSPTRP00000020824
ENOG410V9CT	ENSP00000275699, ENSP00000419199	ENSPTRP00000025988, ENSPTRP00000033631
ENOG410V9CZ	ENSP00000470405, ENSP00000317331	ENSPTRP00000038620
ENOG410V9CY	ENSP00000345719, ENSP00000259339	ENSPTRP00000043021, ENSPTRP00000039592
ENOG410V9C3	ENSP00000309124	ENSPTRP00000007986
ENOG410V9C1	ENSP00000267838	ENSPTRP00000012096
ENOG410V9C0	ENSP00000261658	ENSPTRP00000013295
ENOG410V9C7	ENSP00000341483	ENSPTRP00000017608
ENOG410V9C6	ENSP00000357452	ENSPTRP00000002347
ENOG410V9C5	ENSP00000258873, ENSP00000252669	ENSPTRP00000017616, ENSPTRP00000012543
ENOG410V9C4	ENSP00000328813, ENSP00000257981, ENSP00000264661	ENSPTRP00000015663, ENSPTRP00000008387, ENSPTRP00000025323
ENOG410V9C9	ENSP00000414144, ENSP00000348463, ENSP00000457455	ENSPTRP00000050753
ENOG410V9C8	ENSP00000174653, ENSP00000347408	ENSPTRP00000034595, ENSPTRP00000046433
ENOG410WHXY	ENSP00000363081	ENSPTRP00000004327
ENOG410WHXZ	ENSP00000370812	ENSPTRP00000028897
ENOG410WHXQ	ENSP00000404464	ENSPTRP00000017095
ENOG410WHXR	ENSP00000220812	ENSPTRP00000034605
ENOG410WHXT	ENSP00000314910	ENSPTRP00000005883
ENOG410WHXV	ENSP00000373539	ENSPTRP00000049946
ENOG410VED7	ENSP00000320234	ENSPTRP00000027224
ENOG410VED0	ENSP00000329689, ENSP00000325076, ENSP00000364164	ENSPTRP00000007554, ENSPTRP00000061056, ENSPTRP00000047594
ENOG410VED1	ENSP00000302441	ENSPTRP00000022879
ENOG410VEDC	ENSP00000228644	ENSPTRP00000008937
ENOG410VEDJ	ENSP00000367219	ENSPTRP00000035791
ENOG410VEDK	ENSP00000365443, ENSP00000351883, ENSP00000375593, ENSP00000470691	ENSPTRP00000019846, ENSPTRP00000060629, ENSPTRP00000041953, ENSPTRP00000019847
ENOG410VEDH	ENSP00000244869	ENSPTRP00000027783
ENOG410VEDT	ENSP00000333003	ENSPTRP00000034214
ENOG410VEDS	ENSP00000302260	ENSPTRP00000034757
ENOG410VEDX	ENSP00000261796	ENSPTRP00000029732
ENOG410VEDY	ENSP00000255945	ENSPTRP00000034005
ENOG410WJ02	ENSP00000367173	ENSPTRP00000052902
ENOG410WJ03	ENSP00000332284	ENSPTRP00000012002
ENOG410WJ00	ENSP00000340797	ENSPTRP00000044514
ENOG410WJ05	ENSP00000327994, ENSP00000458922	ENSPTRP00000032928
ENOG410WJ08	ENSP00000363095	ENSPTRP00000036397
ENOG410WJ0E	ENSP00000368920	ENSPTRP00000009883
ENOG410WJ0J	ENSP00000282369	ENSPTRP00000029340
ENOG410WJ0K	ENSP00000338034	ENSPTRP00000008678
ENOG410WJ0S	ENSP00000323889	ENSPTRP00000016020
ENOG410WJ0Q	ENSP00000351250	ENSPTRP00000001947
ENOG410WJ0T	ENSP00000339659	ENSPTRP00000043380
ENOG410WJ0X	ENSP00000312678	ENSPTRP00000037102
ENOG410WJ0Y	ENSP00000409902, ENSP00000398355, ENSP00000411949, ENSP00000391917, ENSP00000373096, ENSP00000397043, ENSP00000365844	ENSPTRP00000050429
ENOG410VAJE	ENSP00000260662	ENSPTRP00000020129
ENOG410V7PX	ENSP00000295908	ENSPTRP00000027948
ENOG410V7PZ	ENSP00000314879, ENSP00000459805, ENSP00000315167, ENSP00000251535, ENSP00000369530, ENSP00000363512	ENSPTRP00000004227, ENSPTRP00000052887, ENSPTRP00000014766, ENSPTRP00000014864, ENSPTRP00000014868
ENOG410V7PP	ENSP00000216254	ENSPTRP00000024853
ENOG410V7PQ	ENSP00000351552	ENSPTRP00000018322
ENOG410V7PR	ENSP00000286364, ENSP00000335029	ENSPTRP00000026641, ENSPTRP00000010314
ENOG410V7PV	ENSP00000325506, ENSP00000275162	ENSPTRP00000031696, ENSPTRP00000034727
ENOG410V7PW	ENSP00000378350	ENSPTRP00000029553
ENOG410V7PM	ENSP00000377252	ENSPTRP00000058985
ENOG410V7PN	ENSP00000310551	ENSPTRP00000020264
ENOG410V7PB	ENSP00000313034	ENSPTRP00000036953
ENOG410V7PC	ENSP00000350789	ENSPTRP00000025946
ENOG410V7PD	ENSP00000454452, ENSP00000434359	ENSPTRP00000035347
ENOG410V7PE	ENSP00000370949	ENSPTRP00000053443
ENOG410V7PF	ENSP00000366970	ENSPTRP00000053030
ENOG410V7PG	ENSP00000300651	ENSPTRP00000015490
ENOG410V7P9	ENSP00000231572	ENSPTRP00000029908
ENOG410V7P0	ENSP00000246868	ENSPTRP00000032899
ENOG410V7P2	ENSP00000332258, ENSP00000454624	ENSPTRP00000035395
ENOG410V7P4	ENSP00000322832	ENSPTRP00000013198
ENOG410V7P7	ENSP00000341803	ENSPTRP00000001151
ENOG410V5SW	ENSP00000405577	ENSPTRP00000007541
ENOG410V5ST	ENSP00000227495	ENSPTRP00000007620
ENOG410V5SY	ENSP00000260382	ENSPTRP00000012374
ENOG410V5SX	ENSP00000366519	ENSPTRP00000003969
ENOG410VCM9	ENSP00000282493	ENSPTRP00000028755
ENOG410VCM8	ENSP00000258180	ENSPTRP00000014376
ENOG410VCM6	ENSP00000075503	ENSPTRP00000008008
ENOG410VCM5	ENSP00000301011	ENSPTRP00000014417
ENOG410VCM4	ENSP00000344106	ENSPTRP00000006551
ENOG410VCM3	ENSP00000442436	ENSPTRP00000048833
ENOG410VCM1	ENSP00000348064	ENSPTRP00000039720
ENOG410V5SC	ENSP00000220597	ENSPTRP00000034853
ENOG410VCMY	ENSP00000297109, ENSP00000296504	ENSPTRP00000029802, ENSPTRP00000028485
ENOG410VCMX	ENSP00000220772, ENSP00000266066	ENSPTRP00000053182
ENOG410VCMW	ENSP00000377947, ENSP00000332296, ENSP00000254066	ENSPTRP00000053041, ENSPTRP00000025352, ENSPTRP00000008522
ENOG410VCMU	ENSP00000377504	ENSPTRP00000017741
ENOG410VCMT	ENSP00000369395	ENSPTRP00000035630
ENOG410VCMR	ENSP00000222553, ENSP00000407952	ENSPTRP00000055668, ENSPTRP00000061269
ENOG410VCMQ	ENSP00000287996	ENSPTRP00000036083
ENOG410VCMP	ENSP00000265881	ENSPTRP00000007394
ENOG410VCMN	ENSP00000355273, ENSP00000169298	ENSPTRP00000027049, ENSPTRP00000040768
ENOG410VCMM	ENSP00000418823	ENSPTRP00000040332
ENOG410VCMK	ENSP00000345102	ENSPTRP00000017392
ENOG410VCMJ	ENSP00000312741, ENSP00000158166	ENSPTRP00000014651, ENSPTRP00000009430
ENOG410VCMI	ENSP00000344468	ENSPTRP00000044655
ENOG410VCMH	ENSP00000376792	ENSPTRP00000056669
ENOG410VCMG	ENSP00000338572	ENSPTRP00000033985
ENOG410VCMF	ENSP00000267569	ENSPTRP00000011133
ENOG410VCMA	ENSP00000358596	ENSPTRP00000050267
ENOG410V5SM	ENSP00000261636	ENSPTRP00000009096
ENOG410V5SK	ENSP00000356071	ENSPTRP00000031986
ENOG410V5SI	ENSP00000361245	ENSPTRP00000052382
ENOG410V5S4	ENSP00000321810	ENSPTRP00000001005
ENOG410V5S3	ENSP00000357069	ENSPTRP00000002584
ENOG410VZEA	ENSP00000368055	ENSPTRP00000048134
ENOG410VV48	ENSP00000386960	ENSPTRP00000060408
ENOG410VA9K	ENSP00000377873	ENSPTRP00000049054
ENOG410VDST	ENSP00000318900	ENSPTRP00000031541
ENOG410VDSU	ENSP00000379754, ENSP00000460007	ENSPTRP00000029023
ENOG410VDSS	ENSP00000347409, ENSP00000457677	ENSPTRP00000043404
ENOG410VDSP	ENSP00000292779	ENSPTRP00000024307
ENOG410VDSQ	ENSP00000308334, ENSP00000451628	ENSPTRP00000010727
ENOG410VDSZ	ENSP00000330374	ENSPTRP00000034006
ENOG410VDSF	ENSP00000261047	ENSPTRP00000041925
ENOG410VDSD	ENSP00000380087	ENSPTRP00000013128
ENOG410VDSN	ENSP00000343392	ENSPTRP00000011539
ENOG410VDSM	ENSP00000273153	ENSPTRP00000025468
ENOG410VDSJ	ENSP00000301455	ENSPTRP00000017730
ENOG410VDSK	ENSP00000340841, ENSP00000411132	ENSPTRP00000025481, ENSPTRP00000025483
ENOG410VDSH	ENSP00000302150	ENSPTRP00000030340
ENOG410VDSI	ENSP00000313088	ENSPTRP00000017174
ENOG410VDS0	ENSP00000371318	ENSPTRP00000022520
ENOG410VDS1	ENSP00000314615	ENSPTRP00000023644
ENOG410VDS8	ENSP00000297819	ENSPTRP00000033731
ENOG410VDS9	ENSP00000238379	ENSPTRP00000049052
ENOG410WBGC	ENSP00000310901	ENSPTRP00000008907
ENOG410WBGM	ENSP00000433775, ENSP00000470219	ENSPTRP00000061004
ENOG410VH6I	ENSP00000244496	ENSPTRP00000031070
ENOG410V9VA	ENSP00000262584	ENSPTRP00000035440
ENOG410V9VB	ENSP00000342510	ENSPTRP00000051190
ENOG410V9VD	ENSP00000291294	ENSPTRP00000019198
ENOG410V9VE	ENSP00000345656, ENSP00000417175	ENSPTRP00000057117, ENSPTRP00000016783
ENOG410V9VF	ENSP00000221086	ENSPTRP00000048528
ENOG410V9VG	ENSP00000419279	ENSPTRP00000033836
ENOG410V9VH	ENSP00000330774	ENSPTRP00000015732
ENOG410V9VI	ENSP00000379658	ENSPTRP00000008031
ENOG410V9VJ	ENSP00000365686, ENSP00000417085	ENSPTRP00000026349, ENSPTRP00000053405
ENOG410V9VK	ENSP00000360540	ENSPTRP00000004827
ENOG410V9VM	ENSP00000329264	ENSPTRP00000060742
ENOG410V9VN	ENSP00000245907, ENSP00000372815, ENSP00000223642, ENSP00000415941, ENSP00000364321, ENSP00000412786, ENSP00000396688, ENSP00000388662, ENSP00000407942, ENSP00000364444, ENSP00000414200	ENSPTRP00000050338, ENSPTRP00000036418, ENSPTRP00000017648, ENSPTRP00000054478
ENOG410V9VP	ENSP00000430505, ENSP00000443432	ENSPTRP00000034569, ENSPTRP00000034571
ENOG410V9VQ	ENSP00000348161	ENSPTRP00000045985
ENOG410V9VS	ENSP00000314508, ENSP00000458274	ENSPTRP00000051730
ENOG410V9VT	ENSP00000246529	ENSPTRP00000018633
ENOG410V9VU	ENSP00000331831	ENSPTRP00000044696
ENOG410V9VY	ENSP00000266544	ENSPTRP00000007791
ENOG410V9VZ	ENSP00000253801, ENSP00000364512, ENSP00000461775, ENSP00000269097	ENSPTRP00000043906, ENSPTRP00000021539, ENSPTRP00000015754
ENOG410V9V0	ENSP00000344489, ENSP00000255499	ENSPTRP00000047319
ENOG410V9V1	ENSP00000288111	ENSPTRP00000010547
ENOG410V9V2	ENSP00000215855, ENSP00000381273	ENSPTRP00000024417, ENSPTRP00000024418
ENOG410V9V3	ENSP00000219476	ENSPTRP00000042921
ENOG410V9V5	ENSP00000335321	ENSPTRP00000021823
ENOG410V9V6	ENSP00000368931	ENSPTRP00000029342
ENOG410V9V7	ENSP00000357887	ENSPTRP00000002178
ENOG410V9V8	ENSP00000219054, ENSP00000327916, ENSP00000382349, ENSP00000327453, ENSP00000289416, ENSP00000301956	ENSPTRP00000053722, ENSPTRP00000013391, ENSPTRP00000056365, ENSPTRP00000013397, ENSPTRP00000013394
ENOG410V9V9	ENSP00000264709, ENSP00000328547	ENSPTRP00000057470, ENSPTRP00000022942
ENOG410VES7	ENSP00000266743	ENSPTRP00000009105
ENOG410VES6	ENSP00000352447	ENSPTRP00000003222
ENOG410VES5	ENSP00000338606	ENSPTRP00000008566
ENOG410VES3	ENSP00000315615	ENSPTRP00000052611
ENOG410VES2	ENSP00000353373	ENSPTRP00000016034
ENOG410VES0	ENSP00000359845	ENSPTRP00000047257
ENOG410VES9	ENSP00000277480	ENSPTRP00000048884
ENOG410VES8	ENSP00000249499	ENSPTRP00000049021
ENOG410VESC	ENSP00000310593	ENSPTRP00000028396
ENOG410VESJ	ENSP00000255129	ENSPTRP00000023331
ENOG410VESI	ENSP00000371420	ENSPTRP00000032444
ENOG410VESH	ENSP00000308716	ENSPTRP00000008724
ENOG410VESV	ENSP00000326598	ENSPTRP00000025615
ENOG410VESY	ENSP00000333680	ENSPTRP00000024899
ENOG410VESX	ENSP00000357943	ENSPTRP00000002154
ENOG410VB02	ENSP00000400036	ENSPTRP00000019257
ENOG410VG56	ENSP00000267406	ENSPTRP00000010561
ENOG410V7JM	ENSP00000338235	ENSPTRP00000034960
ENOG410VJN8	ENSP00000316940	ENSPTRP00000039024
ENOG410VK96	ENSP00000323199	ENSPTRP00000056423
ENOG410VK95	ENSP00000415032	ENSPTRP00000031987
ENOG410VK98	ENSP00000346227	ENSPTRP00000049662
ENOG410VK9R	ENSP00000349923, ENSP00000470377	ENSPTRP00000059911, ENSPTRP00000042271
ENOG410VK9W	ENSP00000276414	ENSPTRP00000034399
ENOG410VK9U	ENSP00000369547	ENSPTRP00000037178
ENOG410VK9Z	ENSP00000248572, ENSP00000248564	ENSPTRP00000033202, ENSPTRP00000033201
ENOG410VK9Y	ENSP00000054666, ENSP00000464383, ENSP00000314214, ENSP00000379602	ENSPTRP00000000191, ENSPTRP00000057082, ENSPTRP00000058965
ENOG410VK9M	ENSP00000342148	ENSPTRP00000040882
ENOG410V5NT	ENSP00000373079, ENSP00000411050, ENSP00000394914, ENSP00000409067, ENSP00000327832, ENSP00000416994, ENSP00000398422	ENSPTRP00000030594
ENOG410V5NV	ENSP00000261891, ENSP00000350785, ENSP00000301264	ENSPTRP00000012230, ENSPTRP00000041316, ENSPTRP00000017483
ENOG410V5NW	ENSP00000304370	ENSPTRP00000031586
ENOG410V5NP	ENSP00000310696, ENSP00000369055, ENSP00000320965	ENSPTRP00000035661, ENSPTRP00000001130, ENSPTRP00000002640
ENOG410V5N1	ENSP00000315680	ENSPTRP00000031819
ENOG410V5N2	ENSP00000409094, ENSP00000308764	ENSPTRP00000061364, ENSPTRP00000048291
ENOG410V5N3	ENSP00000219406, ENSP00000327801	ENSPTRP00000016636
ENOG410V5E7	ENSP00000367346	ENSPTRP00000022744
ENOG410V5ET	ENSP00000278379, ENSP00000221742, ENSP00000265113, ENSP00000360549, ENSP00000262352	ENSPTRP00000001284, ENSPTRP00000006085, ENSPTRP00000049497, ENSPTRP00000028807
ENOG410V5EW	ENSP00000238788	ENSPTRP00000020182
ENOG410V5EV	ENSP00000328928	ENSPTRP00000015903
ENOG410V5ES	ENSP00000367202	ENSPTRP00000035794
ENOG410V5ER	ENSP00000326534	ENSPTRP00000011895
ENOG410V5EY	ENSP00000377700	ENSPTRP00000026164
ENOG410V5EG	ENSP00000360608, ENSP00000263269, ENSP00000279593, ENSP00000293190, ENSP00000332549	ENSPTRP00000016345, ENSPTRP00000008060, ENSPTRP00000013242, ENSPTRP00000041565
ENOG410V5EF	ENSP00000309515	ENSPTRP00000036668
ENOG410V5EM	ENSP00000319979	ENSPTRP00000016702
ENOG410V5EJ	ENSP00000418001	ENSPTRP00000026652
ENOG410VAVH	ENSP00000398704, ENSP00000419362, ENSP00000370990	ENSPTRP00000037021
ENOG410VAVI	ENSP00000394051, ENSP00000460353	ENSPTRP00000021535
ENOG410VAVN	ENSP00000261643	ENSPTRP00000014984
ENOG410VAVB	ENSP00000356623	ENSPTRP00000031846
ENOG410VAVS	ENSP00000357158	ENSPTRP00000002521
ENOG410VAVV	ENSP00000351520, ENSP00000359520	ENSPTRP00000004974, ENSPTRP00000034382
ENOG410VAVW	ENSP00000278886	ENSPTRP00000022877
ENOG410VAV8	ENSP00000293925	ENSPTRP00000012990
ENOG410VAV9	ENSP00000298532	ENSPTRP00000036908
ENOG410VAV0	ENSP00000294816, ENSP00000347684	ENSPTRP00000002699, ENSPTRP00000036533
ENOG410VAV1	ENSP00000457016	ENSPTRP00000058448
ENOG410VAV3	ENSP00000325381, ENSP00000284287	ENSPTRP00000007550, ENSPTRP00000007557
ENOG410VAV4	ENSP00000375853	ENSPTRP00000051398
ENOG410VAV5	ENSP00000385806, ENSP00000382770	ENSPTRP00000056224
ENOG410VAV6	ENSP00000365318, ENSP00000394486, ENSP00000411611, ENSP00000383142, ENSP00000408426, ENSP00000396656, ENSP00000395544	ENSPTRP00000054519
ENOG410VAV7	ENSP00000346022	ENSPTRP00000061373
ENOG410VPV0	ENSP00000276066	ENSPTRP00000037797
ENOG410VXPW	ENSP00000380941	ENSPTRP00000024088
ENOG410VAC8	ENSP00000225972	ENSPTRP00000015962
ENOG410VAC6	ENSP00000221265	ENSPTRP00000018794
ENOG410VACI	ENSP00000006658	ENSPTRP00000015968
ENOG410VACN	ENSP00000428316	ENSPTRP00000059703
ENOG410VACM	ENSP00000368253	ENSPTRP00000047467
ENOG410VACD	ENSP00000321976	ENSPTRP00000019119
ENOG410VACY	ENSP00000359211	ENSPTRP00000001697
ENOG410VACX	ENSP00000296233	ENSPTRP00000026425
ENOG410VACS	ENSP00000320076, ENSP00000308772	ENSPTRP00000013409, ENSPTRP00000016349
ENOG410VACR	ENSP00000355900	ENSPTRP00000003335
ENOG410VACQ	ENSP00000265000, ENSP00000423313, ENSP00000297107	ENSPTRP00000028480, ENSPTRP00000028482, ENSPTRP00000029801
ENOG410VACT	ENSP00000294952	ENSPTRP00000020445
ENOG410VHRQ	ENSP00000336762	ENSPTRP00000054974
ENOG410VJJ8	ENSP00000363322	ENSPTRP00000036337
ENOG410VJJE	ENSP00000361776	ENSPTRP00000061339
ENOG410VJJD	ENSP00000348054	ENSPTRP00000053460
ENOG410VJJV	ENSP00000418348	ENSPTRP00000025368
ENOG410VJJU	ENSP00000263864	ENSPTRP00000020817
ENOG410VJJT	ENSP00000362435	ENSPTRP00000000910
ENOG410V7WR	ENSP00000462620, ENSP00000271348, ENSP00000240986, ENSP00000241125, ENSP00000463851	ENSPTRP00000002081, ENSPTRP00000060326, ENSPTRP00000009694
ENOG410VFHZ	ENSP00000260372	ENSPTRP00000011914
ENOG410VFHP	ENSP00000320359	ENSPTRP00000033434
ENOG410VFHU	ENSP00000252898, ENSP00000341838, ENSP00000337022	ENSPTRP00000003069, ENSPTRP00000046212, ENSPTRP00000048481
ENOG410VFHW	ENSP00000375069	ENSPTRP00000030067
ENOG410VFHV	ENSP00000319531	ENSPTRP00000014317
ENOG410VFHI	ENSP00000402855	ENSPTRP00000031014
ENOG410VFHJ	ENSP00000302603	ENSPTRP00000017415
ENOG410VFHA	ENSP00000435634	ENSPTRP00000000906
ENOG410VFHF	ENSP00000273353	ENSPTRP00000026215
ENOG410VFH9	ENSP00000350976	ENSPTRP00000045318
ENOG410VFH1	ENSP00000330875	ENSPTRP00000005997
ENOG410VFH0	ENSP00000322649	ENSPTRP00000017630
ENOG410VFH5	ENSP00000219302	ENSPTRP00000012998
ENOG410WEW8	ENSP00000375660	ENSPTRP00000039007
ENOG410WEWI	ENSP00000433597, ENSP00000432029, ENSP00000382101, ENSP00000330634, ENSP00000437133, ENSP00000435325, ENSP00000389275, ENSP00000431814, ENSP00000331843	ENSPTRP00000061071, ENSPTRP00000043510
ENOG410WDRW	ENSP00000384534	ENSPTRP00000055984
ENOG410WDR6	ENSP00000345826	ENSPTRP00000060735
ENOG410WJHP	ENSP00000383402	ENSPTRP00000049511
ENOG410WJHV	ENSP00000445366	ENSPTRP00000029617
ENOG410WJHH	ENSP00000179259	ENSPTRP00000007780
ENOG410WJHN	ENSP00000381198	ENSPTRP00000017116
ENOG410WJHM	ENSP00000305924	ENSPTRP00000052513
ENOG410WJHA	ENSP00000365107	ENSPTRP00000004033
ENOG410VC47	ENSP00000354850	ENSPTRP00000005060
ENOG410VC49	ENSP00000336861	ENSPTRP00000040210
ENOG410VC4F	ENSP00000260227	ENSPTRP00000007254
ENOG410VC4G	ENSP00000372199	ENSPTRP00000023842
ENOG410V509	ENSP00000281523	ENSPTRP00000025336
ENOG410V502	ENSP00000348099, ENSP00000321746, ENSP00000401437	ENSPTRP00000004722, ENSPTRP00000027982, ENSPTRP00000046350
ENOG410V503	ENSP00000351631, ENSP00000010299	ENSPTRP00000000725, ENSPTRP00000039139
ENOG410V500	ENSP00000160373	ENSPTRP00000033598
ENOG410V501	ENSP00000472568, ENSP00000309555, ENSP00000229330	ENSPTRP00000039494, ENSPTRP00000009133
ENOG410V507	ENSP00000318085	ENSPTRP00000007489
ENOG410V504	ENSP00000296273	ENSPTRP00000027044
ENOG410V50I	ENSP00000337014, ENSP00000308219, ENSP00000464212, ENSP00000452126	ENSPTRP00000029278, ENSPTRP00000044469, ENSPTRP00000012781
ENOG410V50M	ENSP00000342032	ENSPTRP00000033781
ENOG410V50B	ENSP00000260257, ENSP00000460095	ENSPTRP00000007343
ENOG410V50C	ENSP00000327968	ENSPTRP00000014425
ENOG410V50A	ENSP00000470294, ENSP00000416445	ENSPTRP00000037564
ENOG410V50E	ENSP00000404923	ENSPTRP00000047817
ENOG410V50Z	ENSP00000368716, ENSP00000296543	ENSPTRP00000053299, ENSPTRP00000041158
ENOG410V50S	ENSP00000222481, ENSP00000461972, ENSP00000222482, ENSP00000462830, ENSP00000297770, ENSP00000181383, ENSP00000282957, ENSP00000347549, ENSP00000296046, ENSP00000011292	ENSPTRP00000033734, ENSPTRP00000026696, ENSPTRP00000033732, ENSPTRP00000026701, ENSPTRP00000009957, ENSPTRP00000033733, ENSPTRP00000033736, ENSPTRP00000034781
ENOG410V50U	ENSP00000262605	ENSPTRP00000023228
ENOG410V4QM	ENSP00000316664	ENSPTRP00000051684
ENOG410V4QI	ENSP00000362387	ENSPTRP00000004457
ENOG410V4QE	ENSP00000359285, ENSP00000385026, ENSP00000357461, ENSP00000315602, ENSP00000261751, ENSP00000276410	ENSPTRP00000034420, ENSPTRP00000023650, ENSPTRP00000002339, ENSPTRP00000034613, ENSPTRP00000012561
ENOG410V4QA	ENSP00000366267, ENSP00000377836	ENSPTRP00000010130, ENSPTRP00000038390
ENOG410V4QP	ENSP00000303015, ENSP00000375133	ENSPTRP00000044230, ENSPTRP00000029330
ENOG410V4QQ	ENSP00000361014, ENSP00000250896	ENSPTRP00000017370
ENOG410V4Q4	ENSP00000337825, ENSP00000365012	ENSPTRP00000000842, ENSPTRP00000022925
ENOG410WEAW	ENSP00000384340	ENSPTRP00000059094
ENOG410WEAF	ENSP00000371170, ENSP00000470147, ENSP00000409832, ENSP00000471645, ENSP00000404123, ENSP00000469422, ENSP00000416249, ENSP00000472334, ENSP00000371127, ENSP00000371144, ENSP00000469827, ENSP00000371141, ENSP00000471247, ENSP00000371128, ENSP00000384214, ENSP00000397103, ENSP00000384742, ENSP00000371117, ENSP00000371119, ENSP00000473002, ENSP00000473107, ENSP00000470925, ENSP00000355421, ENSP00000471284, ENSP00000385415, ENSP00000469479, ENSP00000391465, ENSP00000386110, ENSP00000472342	ENSPTRP00000037593, ENSPTRP00000047418, ENSPTRP00000037589
ENOG410WEA0	ENSP00000412272	ENSPTRP00000061188
ENOG410VB49	ENSP00000322460	ENSPTRP00000007432
ENOG410VB45	ENSP00000386170	ENSPTRP00000032592
ENOG410VB47	ENSP00000297788	ENSPTRP00000033683
ENOG410VB46	ENSP00000254227	ENSPTRP00000000693
ENOG410VB4C	ENSP00000355114, ENSP00000353128	ENSPTRP00000042051, ENSPTRP00000038312
ENOG410VB4D	ENSP00000358126, ENSP00000463916	ENSPTRP00000002113
ENOG410V66I	ENSP00000263468	ENSPTRP00000007244
ENOG410V661	ENSP00000354718	ENSPTRP00000029088
ENOG410V6IH	ENSP00000471397, ENSP00000343490, ENSP00000264162	ENSPTRP00000012316, ENSPTRP00000021379
ENOG410V6IX	ENSP00000219345, ENSP00000264005	ENSPTRP00000014105, ENSPTRP00000014085
ENOG410V6IT	ENSP00000369014	ENSPTRP00000028171
ENOG410VMUT	ENSP00000343172	ENSPTRP00000055884
ENOG410VMUH	ENSP00000344504	ENSPTRP00000061378
ENOG410VMUJ	ENSP00000334681, ENSP00000347810	ENSPTRP00000055816
ENOG410VMUD	ENSP00000054668	ENSPTRP00000055352
ENOG410VMUB	ENSP00000330787	ENSPTRP00000011334
ENOG410VMU3	ENSP00000437400	ENSPTRP00000060276
ENOG410V6R7	ENSP00000360998	ENSPTRP00000004757
ENOG410VWA6	ENSP00000463576, ENSP00000341237, ENSP00000415398	ENSPTRP00000024298
ENOG410VJEZ	ENSP00000253410	ENSPTRP00000015789
ENOG410VI23	ENSP00000327386	ENSPTRP00000017266
ENOG410VI2W	ENSP00000365838	ENSPTRP00000048502
ENOG410VI2Q	ENSP00000360485	ENSPTRP00000038272
ENOG410VI2S	ENSP00000264563	ENSPTRP00000019785
ENOG410V6IB	ENSP00000233535, ENSP00000363394, ENSP00000415011	ENSPTRP00000020201, ENSPTRP00000035104, ENSPTRP00000052651
ENOG410V6IF	ENSP00000356265	ENSPTRP00000058744
ENOG410V6IG	ENSP00000301335	ENSPTRP00000014547
ENOG410V6ID	ENSP00000359489, ENSP00000265343, ENSP00000348793, ENSP00000472279, ENSP00000378578	ENSPTRP00000054451, ENSPTRP00000021043, ENSPTRP00000029475, ENSPTRP00000027923
ENOG410V6IZ	ENSP00000433681	ENSPTRP00000007685
ENOG410V6IY	ENSP00000250160	ENSPTRP00000035228
ENOG410V6IP	ENSP00000338673, ENSP00000464036, ENSP00000384442	ENSPTRP00000014478
ENOG410V6IU	ENSP00000316032	ENSPTRP00000041699
ENOG410V6I8	ENSP00000379290	ENSPTRP00000023464
ENOG410V6I9	ENSP00000306080	ENSPTRP00000014527
ENOG410V6I3	ENSP00000379475, ENSP00000450155, ENSP00000448893, ENSP00000449046, ENSP00000242776, ENSP00000449488, ENSP00000449135, ENSP00000449305	ENSPTRP00000018068, ENSPTRP00000054521
ENOG410VBT8	ENSP00000418667	ENSPTRP00000060589
ENOG410VBT1	ENSP00000262101	ENSPTRP00000034258
ENOG410VBT7	ENSP00000377385, ENSP00000450710	ENSPTRP00000041462
ENOG410VBTI	ENSP00000248673	ENSPTRP00000018802
ENOG410VBTJ	ENSP00000315247	ENSPTRP00000009077
ENOG410VBTM	ENSP00000345968	ENSPTRP00000018135
ENOG410VBTB	ENSP00000349131	ENSPTRP00000031716
ENOG410VBTY	ENSP00000326240	ENSPTRP00000026852
ENOG410VBTQ	ENSP00000317445	ENSPTRP00000053714
ENOG410VBTS	ENSP00000360286	ENSPTRP00000052014
ENOG410VBTT	ENSP00000410943	ENSPTRP00000057488
ENOG410WC3V	ENSP00000307860	ENSPTRP00000021757
ENOG410WC3P	ENSP00000448021, ENSP00000449947	ENSPTRP00000056924
ENOG410WC3A	ENSP00000335392	ENSPTRP00000025983
ENOG410WC36	ENSP00000391066	ENSPTRP00000061068
ENOG410WC30	ENSP00000435481	ENSPTRP00000061112
ENOG410VKW5	ENSP00000356410	ENSPTRP00000051386
ENOG410VKWP	ENSP00000411004	ENSPTRP00000047503
ENOG410VKWW	ENSP00000367429	ENSPTRP00000048694
ENOG410VKWJ	ENSP00000425107	ENSPTRP00000048113
ENOG410V57S	ENSP00000352271	ENSPTRP00000042785
ENOG410WCK2	ENSP00000295108, ENSP00000242994	ENSPTRP00000021721
ENOG410WCKV	ENSP00000259351	ENSPTRP00000036542
ENOG410V8J1	ENSP00000322457, ENSP00000349156, ENSP00000383256	ENSPTRP00000026742, ENSPTRP00000060405, ENSPTRP00000013820
ENOG410WH4J	ENSP00000331787	ENSPTRP00000008442
ENOG410WH4Z	ENSP00000381693	ENSPTRP00000056825
ENOG410WE6E	ENSP00000406027	ENSPTRP00000061329
ENOG410VA8B	ENSP00000329200	ENSPTRP00000008716
ENOG410VA8V	ENSP00000307858, ENSP00000406955	ENSPTRP00000014816, ENSPTRP00000051022
ENOG410VDDS	ENSP00000403103	ENSPTRP00000046039
