ENOG410VA9E	ENSP00000425556, ENSP00000351790	ENSMUSP00000034057, ENSMUSP00000093240
ENOG410VJJU	ENSP00000263864	ENSMUSP00000059501
ENOG410VJJT	ENSP00000362435	ENSMUSP00000092302
ENOG410V7WR	ENSP00000462620, ENSP00000463851, ENSP00000271348, ENSP00000241125, ENSP00000240986	ENSMUSP00000088264, ENSMUSP00000059587, ENSMUSP00000049532
ENOG410VFHZ	ENSP00000260372	ENSMUSP00000117299
ENOG410VFHP	ENSP00000320359	ENSMUSP00000008131
ENOG410VFHU	ENSP00000337022, ENSP00000341838, ENSP00000252898	ENSMUSP00000096458, ENSMUSP00000101591, ENSMUSP00000121343
ENOG410VFHW	ENSP00000375069	ENSMUSP00000099826
ENOG410VFHV	ENSP00000319531	ENSMUSP00000037131
ENOG410VFHI	ENSP00000402855	ENSMUSP00000024792
ENOG410VFHA	ENSP00000435634	ENSMUSP00000030614
ENOG410VFHF	ENSP00000273353	ENSMUSP00000127539
ENOG410VFH9	ENSP00000350976	ENSMUSP00000062178
ENOG410VFH1	ENSP00000330875	ENSMUSP00000125812
ENOG410VFH0	ENSP00000322649	ENSMUSP00000058877
ENOG410VFH5	ENSP00000219302	ENSMUSP00000024978
ENOG410WJHP	ENSP00000383402	ENSMUSP00000072848
ENOG410WJHH	ENSP00000179259	ENSMUSP00000048643
ENOG410WJHN	ENSP00000381198	ENSMUSP00000083926
ENOG410WJHM	ENSP00000305924	ENSMUSP00000021631
ENOG410WJHA	ENSP00000365107	ENSMUSP00000028119
ENOG410WJH2	ENSP00000307939	ENSMUSP00000054033
ENOG410VC47	ENSP00000354850	ENSMUSP00000026243
ENOG410VC49	ENSP00000336861	ENSMUSP00000126546
ENOG410VC4F	ENSP00000260227	ENSMUSP00000018767
ENOG410VC4G	ENSP00000372199	ENSMUSP00000114717
ENOG410V502	ENSP00000348099, ENSP00000401437, ENSP00000321746	ENSMUSP00000022327, ENSMUSP00000047173, ENSMUSP00000029941
ENOG410V503	ENSP00000010299, ENSP00000351631	ENSMUSP00000062642, ENSMUSP00000030696
ENOG410V500	ENSP00000160373	ENSMUSP00000088089
ENOG410V501	ENSP00000309555, ENSP00000229330, ENSP00000472568	ENSMUSP00000020478
ENOG410V507	ENSP00000318085	ENSMUSP00000034629
ENOG410V504	ENSP00000296273	ENSMUSP00000023598
ENOG410V50K	ENSP00000078527	ENSMUSP00000050647
ENOG410V50I	ENSP00000337014, ENSP00000452126, ENSP00000308219, ENSP00000464212	ENSMUSP00000046659, ENSMUSP00000091870, ENSMUSP00000126177
ENOG410V50M	ENSP00000342032	ENSMUSP00000047393
ENOG410V50B	ENSP00000460095, ENSP00000260257	ENSMUSP00000037082
ENOG410V50C	ENSP00000327968	ENSMUSP00000006762
ENOG410V50A	ENSP00000416445, ENSP00000470294	ENSMUSP00000033490
ENOG410V50E	ENSP00000404923	ENSMUSP00000082844
ENOG410V50Z	ENSP00000296543, ENSP00000368716	ENSMUSP00000022597, ENSMUSP00000029303
ENOG410V50S	ENSP00000462830, ENSP00000297770, ENSP00000181383, ENSP00000461972, ENSP00000011292, ENSP00000347549, ENSP00000222482, ENSP00000282957, ENSP00000296046, ENSP00000222481	ENSMUSP00000001921, ENSMUSP00000022576, ENSMUSP00000035435, ENSMUSP00000011607, ENSMUSP00000048558, ENSMUSP00000031806, ENSMUSP00000057722, ENSMUSP00000093771
ENOG410V50U	ENSP00000262605	ENSMUSP00000105035
ENOG410V4QM	ENSP00000316664	ENSMUSP00000041232
ENOG410V4QI	ENSP00000362387	ENSMUSP00000047029
ENOG410V4QE	ENSP00000261751, ENSP00000359285, ENSP00000357461, ENSP00000276410, ENSP00000385026, ENSP00000315602	ENSMUSP00000034851, ENSMUSP00000066338, ENSMUSP00000029562, ENSMUSP00000034854, ENSMUSP00000022620, ENSMUSP00000033882
ENOG410V4QA	ENSP00000377836, ENSP00000366267	ENSMUSP00000022707, ENSMUSP00000064131
ENOG410V4QP	ENSP00000375133, ENSP00000303015	ENSMUSP00000107908, ENSMUSP00000062025
ENOG410V4QQ	ENSP00000361014, ENSP00000250896	ENSMUSP00000003433, ENSMUSP00000019677
ENOG410V4Q4	ENSP00000365012, ENSP00000337825	ENSMUSP00000125777, ENSMUSP00000003370
ENOG410VB49	ENSP00000322460	ENSMUSP00000062507
ENOG410VB45	ENSP00000386170	ENSMUSP00000052591
ENOG410VB47	ENSP00000297788	ENSMUSP00000093789
ENOG410VB46	ENSP00000254227	ENSMUSP00000039175
ENOG410VB4C	ENSP00000355114, ENSP00000353128	ENSMUSP00000062991, ENSMUSP00000030145, ENSMUSP00000060655
ENOG410VB4D	ENSP00000358126, ENSP00000463916	ENSMUSP00000015891
ENOG410V66I	ENSP00000263468	ENSMUSP00000042904
ENOG410V661	ENSP00000354718	ENSMUSP00000004684, ENSMUSP00000129784
ENOG410V6IH	ENSP00000343490, ENSP00000264162, ENSP00000471397	ENSMUSP00000034969, ENSMUSP00000073190
ENOG410V6IX	ENSP00000264005, ENSP00000219345	ENSMUSP00000038232, ENSMUSP00000034377
ENOG410V6IT	ENSP00000369014	ENSMUSP00000051297
ENOG410VMUT	ENSP00000343172	ENSMUSP00000098617
ENOG410VMUH	ENSP00000344504	ENSMUSP00000137309
ENOG410VMUJ	ENSP00000347810, ENSP00000334681	ENSMUSP00000060997
ENOG410VMUD	ENSP00000054668	ENSMUSP00000030803
ENOG410V6R7	ENSP00000360998	ENSMUSP00000025686
ENOG410VJEZ	ENSP00000253410	ENSMUSP00000021302
ENOG410VI23	ENSP00000327386	ENSMUSP00000020573
ENOG410VI2Z	ENSP00000409799	ENSMUSP00000025319
ENOG410VI2Q	ENSP00000360485	ENSMUSP00000048773
ENOG410VI2S	ENSP00000264563	ENSMUSP00000092492
ENOG410V6IB	ENSP00000415011, ENSP00000363394, ENSP00000233535	ENSMUSP00000101500, ENSMUSP00000035257, ENSMUSP00000031037
ENOG410V6IF	ENSP00000356265	ENSMUSP00000067241
ENOG410V6IG	ENSP00000301335	ENSMUSP00000046074
ENOG410V6ID	ENSP00000265343, ENSP00000359489, ENSP00000348793, ENSP00000378578, ENSP00000472279	ENSMUSP00000033532, ENSMUSP00000044128, ENSMUSP00000031256, ENSMUSP00000051479
ENOG410V6IZ	ENSP00000433681	ENSMUSP00000072871
ENOG410V6IY	ENSP00000250160	ENSMUSP00000005255
ENOG410V6IP	ENSP00000384442, ENSP00000464036, ENSP00000338673	ENSMUSP00000070527, ENSMUSP00000045527
ENOG410V6IU	ENSP00000316032	ENSMUSP00000068530
ENOG410V6I8	ENSP00000379290	ENSMUSP00000013667
ENOG410V6I9	ENSP00000306080	ENSMUSP00000042882
ENOG410V6I3	ENSP00000448893, ENSP00000449305, ENSP00000242776, ENSP00000449488, ENSP00000449046, ENSP00000450155, ENSP00000449135, ENSP00000379475	ENSMUSP00000019576, ENSMUSP00000070682
ENOG410VBT8	ENSP00000418667	ENSMUSP00000109261
ENOG410VBT1	ENSP00000262101	ENSMUSP00000026021
ENOG410VBT7	ENSP00000377385, ENSP00000450710	ENSMUSP00000004203
ENOG410VBTI	ENSP00000248673	ENSMUSP00000057815
ENOG410VBTM	ENSP00000345968	ENSMUSP00000110099
ENOG410VBTB	ENSP00000349131	ENSMUSP00000090287
ENOG410VBTY	ENSP00000326240	ENSMUSP00000041034
ENOG410VBTQ	ENSP00000317445	ENSMUSP00000100594
ENOG410VBTS	ENSP00000360286	ENSMUSP00000029013
ENOG410VBTT	ENSP00000410943	ENSMUSP00000036360
ENOG410VBTW	ENSP00000408411	ENSMUSP00000016678
ENOG410VKW5	ENSP00000356410	ENSMUSP00000053443
ENOG410VKWW	ENSP00000367429	ENSMUSP00000096260
ENOG410VKWJ	ENSP00000425107	ENSMUSP00000038489
ENOG410V57S	ENSP00000352271	ENSMUSP00000030773
ENOG410WCK2	ENSP00000242994, ENSP00000295108	ENSMUSP00000051379
ENOG410WCKV	ENSP00000259351	ENSMUSP00000063872
ENOG410V8J1	ENSP00000322457, ENSP00000383256, ENSP00000349156	ENSMUSP00000044123, ENSMUSP00000043215, ENSMUSP00000130827, ENSMUSP00000067496
ENOG410WH4J	ENSP00000331787	ENSMUSP00000065271
ENOG410WH4Z	ENSP00000381693	ENSMUSP00000022358
ENOG410VA8B	ENSP00000329200	ENSMUSP00000048148
ENOG410VA8V	ENSP00000307858, ENSP00000406955	ENSMUSP00000104279, ENSMUSP00000091315
ENOG410VDDS	ENSP00000403103	ENSMUSP00000000808
ENOG410V8X7	ENSP00000302276, ENSP00000328773	ENSMUSP00000053678, ENSMUSP00000057339
ENOG410V8X6	ENSP00000349541	ENSMUSP00000058321
ENOG410V8X4	ENSP00000244137	ENSMUSP00000075683
ENOG410V8X3	ENSP00000437968, ENSP00000233099	ENSMUSP00000094882, ENSMUSP00000043115
ENOG410V8X2	ENSP00000360025	ENSMUSP00000044034
ENOG410V8X0	ENSP00000281623	ENSMUSP00000022791
ENOG410V8X9	ENSP00000384259, ENSP00000361306	ENSMUSP00000027502, ENSMUSP00000108595
ENOG410V8XW	ENSP00000357087	ENSMUSP00000027826
ENOG410V8XV	ENSP00000356436	ENSMUSP00000070868
ENOG410V8XT	ENSP00000317087, ENSP00000274056, ENSP00000459713	ENSMUSP00000072302, ENSMUSP00000078024
ENOG410V8XR	ENSP00000362546	ENSMUSP00000029179
ENOG410V8XQ	ENSP00000253303	ENSMUSP00000023832
ENOG410V8XZ	ENSP00000271324	ENSMUSP00000035781
ENOG410V8XY	ENSP00000294600	ENSMUSP00000039642
ENOG410V8XX	ENSP00000269576	ENSMUSP00000099420
ENOG410V8XF	ENSP00000166345	ENSMUSP00000022053
ENOG410V8XE	ENSP00000293273	ENSMUSP00000010506
ENOG410V8XD	ENSP00000255631	ENSMUSP00000078886
ENOG410V8XB	ENSP00000408910	ENSMUSP00000026479
ENOG410V8XJ	ENSP00000239461	ENSMUSP00000027878
ENOG410V8XH	ENSP00000313309	ENSMUSP00000071194
ENOG410V7XE	ENSP00000393514, ENSP00000372683, ENSP00000404403, ENSP00000388191, ENSP00000396292	ENSMUSP00000057466
ENOG410V975	ENSP00000357823	ENSMUSP00000029786
ENOG410V973	ENSP00000381064	ENSMUSP00000034328
ENOG410V972	ENSP00000367319	ENSMUSP00000091471
ENOG410V97F	ENSP00000381184	ENSMUSP00000034429
ENOG410V97E	ENSP00000282356	ENSMUSP00000046539
ENOG410V97C	ENSP00000315011	ENSMUSP00000034029
ENOG410V97B	ENSP00000323355	ENSMUSP00000057020
ENOG410V6VK	ENSP00000298530	ENSMUSP00000032263
ENOG410V6VJ	ENSP00000375057, ENSP00000349250	ENSMUSP00000099013, ENSMUSP00000057085
ENOG410V6VI	ENSP00000412553, ENSP00000411327, ENSP00000413319, ENSP00000411471, ENSP00000313603, ENSP00000389065, ENSP00000414373, ENSP00000373082	ENSMUSP00000036881, ENSMUSP00000003319
ENOG410V6VB	ENSP00000392553, ENSP00000381302	ENSMUSP00000091557, ENSMUSP00000067035
ENOG410V6VD	ENSP00000359035, ENSP00000457868, ENSP00000259008	ENSMUSP00000053120, ENSMUSP00000043108
ENOG410V6VY	ENSP00000318775	ENSMUSP00000031072
ENOG410V6VV	ENSP00000355751, ENSP00000357362, ENSP00000260356, ENSP00000222271, ENSP00000339730	ENSMUSP00000044903, ENSMUSP00000022213, ENSMUSP00000003659, ENSMUSP00000029682, ENSMUSP00000128308
ENOG410V6V3	ENSP00000357307, ENSP00000255224	ENSMUSP00000088464, ENSMUSP00000025110
ENOG410V6V7	ENSP00000348300	ENSMUSP00000110074
ENOG410VE0W	ENSP00000321729	ENSMUSP00000049938, ENSMUSP00000061764
ENOG410VE0M	ENSP00000401018	ENSMUSP00000034094
ENOG410VE08	ENSP00000389009	ENSMUSP00000131624, ENSMUSP00000137854
ENOG410VE07	ENSP00000225609	ENSMUSP00000014389
ENOG410VBI8	ENSP00000429367	ENSMUSP00000103920
ENOG410VBI9	ENSP00000343799	ENSMUSP00000067364
ENOG410VBI6	ENSP00000348564	ENSMUSP00000106329
ENOG410VBI4	ENSP00000297164	ENSMUSP00000070280
ENOG410VBI5	ENSP00000367787	ENSMUSP00000090525
ENOG410VBI2	ENSP00000381049	ENSMUSP00000031009
ENOG410VBI3	ENSP00000307887	ENSMUSP00000030947
ENOG410VBI1	ENSP00000257254	ENSMUSP00000053638
ENOG410VBIN	ENSP00000272342	ENSMUSP00000075957
ENOG410VBIM	ENSP00000361331	ENSMUSP00000042796
ENOG410VBIJ	ENSP00000471166, ENSP00000358622	ENSMUSP00000004330
ENOG410VBIH	ENSP00000217446	ENSMUSP00000076816
ENOG410VBII	ENSP00000354964	ENSMUSP00000109109
ENOG410VBIG	ENSP00000387219	ENSMUSP00000032060
ENOG410VBID	ENSP00000296015	ENSMUSP00000103845
ENOG410VBIE	ENSP00000377547, ENSP00000388902	ENSMUSP00000058111, ENSMUSP00000025983
ENOG410VBIB	ENSP00000217185, ENSP00000217188	ENSMUSP00000016511, ENSMUSP00000016498
ENOG410VBIA	ENSP00000233156	ENSMUSP00000028487
ENOG410VBIX	ENSP00000331298	ENSMUSP00000053975, ENSMUSP00000058894
ENOG410VBIV	ENSP00000304364	ENSMUSP00000059224
ENOG410VBIW	ENSP00000308714, ENSP00000334934	ENSMUSP00000053465, ENSMUSP00000067303
ENOG410VBIT	ENSP00000293443	ENSMUSP00000038486
ENOG410VBIU	ENSP00000296135	ENSMUSP00000026274
ENOG410VBIP	ENSP00000366395	ENSMUSP00000114843
ENOG410VBIQ	ENSP00000315118, ENSP00000355739	ENSMUSP00000027766, ENSMUSP00000003860
ENOG410VGJX	ENSP00000010404	ENSMUSP00000008684
ENOG410VGJY	ENSP00000324834	ENSMUSP00000136061
ENOG410VGJ4	ENSP00000326249	ENSMUSP00000061824
ENOG410VGJ5	ENSP00000352455	ENSMUSP00000122863
ENOG410V4XU	ENSP00000284202	ENSMUSP00000025290
ENOG410V4XN	ENSP00000420213, ENSP00000327145, ENSP00000358866, ENSP00000472325	ENSMUSP00000087960, ENSMUSP00000098997, ENSMUSP00000052020
ENOG410V4XM	ENSP00000355317	ENSMUSP00000040647
ENOG410V4XC	ENSP00000307746	ENSMUSP00000068192
ENOG410V4XB	ENSP00000243911, ENSP00000318077, ENSP00000299766, ENSP00000333821	ENSMUSP00000058691, ENSMUSP00000130497, ENSMUSP00000047358, ENSMUSP00000054776
ENOG410V4XD	ENSP00000386209, ENSP00000386175, ENSP00000386208, ENSP00000386137, ENSP00000375334	ENSMUSP00000093647, ENSMUSP00000077204, ENSMUSP00000058912, ENSMUSP00000059195, ENSMUSP00000058147, ENSMUSP00000093648, ENSMUSP00000076039, ENSMUSP00000093649
ENOG410VZ7S	ENSP00000450581	ENSMUSP00000133699
ENOG410VHF1	ENSP00000215829	ENSMUSP00000020397
ENOG410VHF3	ENSP00000270824	ENSMUSP00000054141
ENOG410VHFY	ENSP00000326267	ENSMUSP00000044808
ENOG410VHFX	ENSP00000257663	ENSMUSP00000110914
ENOG410VHFU	ENSP00000270620	ENSMUSP00000103560
ENOG410VHFT	ENSP00000330375	ENSMUSP00000046987
ENOG410VHFW	ENSP00000394936, ENSP00000259396	ENSMUSP00000006687, ENSMUSP00000074810, ENSMUSP00000030044
ENOG410VHFS	ENSP00000388107	ENSMUSP00000080608
ENOG410VHFR	ENSP00000329757	ENSMUSP00000024932
ENOG410VHFI	ENSP00000386657, ENSP00000334415	ENSMUSP00000091708
ENOG410VHFK	ENSP00000378736	ENSMUSP00000026608
ENOG410VHFG	ENSP00000293778	ENSMUSP00000019064
ENOG410VHFF	ENSP00000365159	ENSMUSP00000100547, ENSMUSP00000054858
ENOG410VHFA	ENSP00000419081	ENSMUSP00000034777
ENOG410VHFB	ENSP00000414321	ENSMUSP00000125977
ENOG410VN28	ENSP00000335538	ENSMUSP00000098060
ENOG410VN2B	ENSP00000381480	ENSMUSP00000055391
ENOG410WG2D	ENSP00000194214	ENSMUSP00000048810
ENOG410WJDH	ENSP00000330658	ENSMUSP00000124022, ENSMUSP00000081545
ENOG410V8E4	ENSP00000258772	ENSMUSP00000004507
ENOG410V8E5	ENSP00000337053, ENSP00000284951	ENSMUSP00000021347, ENSMUSP00000113800
ENOG410V8E6	ENSP00000295600	ENSMUSP00000044938
ENOG410V8E0	ENSP00000260953	ENSMUSP00000050907
ENOG410V8E1	ENSP00000310335	ENSMUSP00000037503
ENOG410V8E2	ENSP00000412566, ENSP00000306223	ENSMUSP00000055941, ENSMUSP00000099488
ENOG410V8E3	ENSP00000346335	ENSMUSP00000021596
ENOG410V8E8	ENSP00000321239	ENSMUSP00000031345
ENOG410V8E9	ENSP00000343925	ENSMUSP00000098849
ENOG410V8EV	ENSP00000356658, ENSP00000362746	ENSMUSP00000066449
ENOG410V8EW	ENSP00000262850, ENSP00000369899	ENSMUSP00000088591, ENSMUSP00000039013
ENOG410V8EP	ENSP00000333539	ENSMUSP00000121617
ENOG410V8EQ	ENSP00000379654	ENSMUSP00000087770
ENOG410V8ER	ENSP00000228476, ENSP00000357920	ENSMUSP00000107911, ENSMUSP00000019977
ENOG410V8ES	ENSP00000264824	ENSMUSP00000046010
ENOG410V8EX	ENSP00000336693, ENSP00000365725	ENSMUSP00000053558, ENSMUSP00000134568
ENOG410V8EY	ENSP00000380153, ENSP00000380155	ENSMUSP00000091674, ENSMUSP00000095820, ENSMUSP00000058085, ENSMUSP00000081877, ENSMUSP00000059586
ENOG410V8ED	ENSP00000371634, ENSP00000290341, ENSP00000258729	ENSMUSP00000013559, ENSMUSP00000031838, ENSMUSP00000097629
ENOG410V8EE	ENSP00000339280	ENSMUSP00000070621
ENOG410V8EF	ENSP00000341346, ENSP00000343995, ENSP00000295201, ENSP00000283025, ENSP00000455769	ENSMUSP00000025002, ENSMUSP00000042063, ENSMUSP00000111497, ENSMUSP00000021155
ENOG410V8EA	ENSP00000299191	ENSMUSP00000091033
ENOG410V8EB	ENSP00000216797	ENSMUSP00000021413
ENOG410V8EC	ENSP00000295119	ENSMUSP00000107385, ENSMUSP00000028382
ENOG410V8EM	ENSP00000258449	ENSMUSP00000092624
ENOG410V8EN	ENSP00000276282	ENSMUSP00000044135
ENOG410V8EI	ENSP00000362702, ENSP00000356355	ENSMUSP00000027642, ENSMUSP00000049723
ENOG410V8EJ	ENSP00000324636	ENSMUSP00000002275
ENOG410V8EK	ENSP00000222753	ENSMUSP00000039170
ENOG410VD8I	ENSP00000328340	ENSMUSP00000017839
ENOG410VD8H	ENSP00000280057	ENSMUSP00000047681
ENOG410VD8N	ENSP00000419153	ENSMUSP00000078410
ENOG410VD8M	ENSP00000221498	ENSMUSP00000033057
ENOG410VD8C	ENSP00000338885	ENSMUSP00000065233
ENOG410VD8B	ENSP00000257776	ENSMUSP00000046271
ENOG410VD8D	ENSP00000360437	ENSMUSP00000028995
ENOG410VD8Z	ENSP00000354774	ENSMUSP00000022497
ENOG410VD8Y	ENSP00000451382, ENSP00000314518	ENSMUSP00000038275
ENOG410VD8X	ENSP00000371661	ENSMUSP00000016026
ENOG410VD8S	ENSP00000327824	ENSMUSP00000074009
ENOG410VD8R	ENSP00000344393	ENSMUSP00000021669
ENOG410VD8Q	ENSP00000472021, ENSP00000286428	ENSMUSP00000033540
ENOG410VD8P	ENSP00000343428	ENSMUSP00000061410
ENOG410VD8W	ENSP00000260113	ENSMUSP00000085826
ENOG410VD8U	ENSP00000308541	ENSMUSP00000028681
ENOG410VD8T	ENSP00000360997, ENSP00000456186	ENSMUSP00000099955
ENOG410VD88	ENSP00000360652	ENSMUSP00000040134
ENOG410VD83	ENSP00000354676	ENSMUSP00000046480
ENOG410VD81	ENSP00000263360	ENSMUSP00000102853
ENOG410VD80	ENSP00000301295, ENSP00000331857, ENSP00000299481	ENSMUSP00000081819, ENSMUSP00000046503, ENSMUSP00000104024, ENSMUSP00000083106, ENSMUSP00000066841, ENSMUSP00000075794, ENSMUSP00000041908, ENSMUSP00000072895
ENOG410VD87	ENSP00000366549	ENSMUSP00000070414
ENOG410VD86	ENSP00000312535	ENSMUSP00000050039
ENOG410VCAV	ENSP00000238647, ENSP00000307265	ENSMUSP00000041070, ENSMUSP00000061234
ENOG410WIKJ	ENSP00000346151	ENSMUSP00000085872
ENOG410WIKB	ENSP00000345964	ENSMUSP00000072472
ENOG410WIKC	ENSP00000256637	ENSMUSP00000099692
ENOG410WIKD	ENSP00000422185, ENSP00000358715	ENSMUSP00000077919
ENOG410VFC1	ENSP00000246662	ENSMUSP00000055255
ENOG410VFCD	ENSP00000249005	ENSMUSP00000057999
ENOG410VFCG	ENSP00000296498	ENSMUSP00000029603
ENOG410VG5I	ENSP00000328631, ENSP00000468899	ENSMUSP00000049147
ENOG410VG5H	ENSP00000275517	ENSMUSP00000025704
ENOG410VG5A	ENSP00000328181	ENSMUSP00000061427
ENOG410VG53	ENSP00000182290	ENSMUSP00000009396
ENOG410VIJV	ENSP00000379607	ENSMUSP00000095531
ENOG410VIJW	ENSP00000300413	ENSMUSP00000002551
ENOG410VIJP	ENSP00000250916	ENSMUSP00000048825
ENOG410V7IW	ENSP00000355627	ENSMUSP00000066488
ENOG410V7IY	ENSP00000390651	ENSMUSP00000074471
ENOG410V7IX	ENSP00000332576, ENSP00000263847	ENSMUSP00000068652, ENSMUSP00000025590
ENOG410V7IF	ENSP00000263102	ENSMUSP00000123374
ENOG410V7IM	ENSP00000367721	ENSMUSP00000059289
ENOG410V7II	ENSP00000287008, ENSP00000441802	ENSMUSP00000092376, ENSMUSP00000055199
ENOG410V7IH	ENSP00000326806	ENSMUSP00000023460
ENOG410V7I2	ENSP00000333744	ENSMUSP00000047630
ENOG410VCV8	ENSP00000323280	ENSMUSP00000079172
ENOG410VCV2	ENSP00000323837	ENSMUSP00000110179
ENOG410VCV3	ENSP00000437121	ENSMUSP00000092436
ENOG410VCV1	ENSP00000241527	ENSMUSP00000027492
ENOG410VCV6	ENSP00000046794	ENSMUSP00000126796
ENOG410VCV4	ENSP00000334145	ENSMUSP00000029771
ENOG410VCVK	ENSP00000366307	ENSMUSP00000096877
ENOG410VCVI	ENSP00000359935	ENSMUSP00000068939
ENOG410VCVN	ENSP00000274063	ENSMUSP00000029625
ENOG410VCVC	ENSP00000419395	ENSMUSP00000046297
ENOG410VCVA	ENSP00000466399	ENSMUSP00000018985
ENOG410VCVF	ENSP00000266263	ENSMUSP00000004868
ENOG410VCVD	ENSP00000235332	ENSMUSP00000030886
ENOG410VCVE	ENSP00000385722	ENSMUSP00000072406
ENOG410VCVW	ENSP00000323275	ENSMUSP00000120629, ENSMUSP00000034734
ENOG410VCVU	ENSP00000228887	ENSMUSP00000032327
ENOG410VDIN	ENSP00000300650	ENSMUSP00000060941
ENOG410VIJ4	ENSP00000414066	ENSMUSP00000040935
ENOG410V5UC	ENSP00000380785, ENSP00000305699, ENSP00000360252	ENSMUSP00000030306, ENSMUSP00000067752, ENSMUSP00000046788
ENOG410V5UM	ENSP00000298910, ENSP00000373600	ENSMUSP00000052584, ENSMUSP00000015277
ENOG410V5UK	ENSP00000260361	ENSMUSP00000028768
ENOG410VHS3	ENSP00000334044	ENSMUSP00000100577
ENOG410VHS6	ENSP00000343493	ENSMUSP00000101938
ENOG410VHS5	ENSP00000274764	ENSMUSP00000056604
ENOG410VHSS	ENSP00000370055	ENSMUSP00000078303
ENOG410VHSV	ENSP00000306564	ENSMUSP00000081784
ENOG410VHSU	ENSP00000253362	ENSMUSP00000136550, ENSMUSP00000046080
ENOG410VHSX	ENSP00000300692	ENSMUSP00000034602
ENOG410VHSG	ENSP00000222968	ENSMUSP00000031627
ENOG410VHSK	ENSP00000315111	ENSMUSP00000058371
ENOG410VHSH	ENSP00000357429	ENSMUSP00000020024
ENOG410V5U9	ENSP00000267549	ENSMUSP00000074581
ENOG410VA1Z	ENSP00000381937	ENSMUSP00000103712
ENOG410VA1U	ENSP00000294543	ENSMUSP00000041388
ENOG410V5U8	ENSP00000364798	ENSMUSP00000061899
ENOG410VA1W	ENSP00000321963	ENSMUSP00000118506, ENSMUSP00000066504, ENSMUSP00000089014, ENSMUSP00000125906, ENSMUSP00000127301
ENOG410VA1Q	ENSP00000299440	ENSMUSP00000077584
ENOG410VA1E	ENSP00000357068	ENSMUSP00000054356
ENOG410VA1A	ENSP00000303149, ENSP00000331600, ENSP00000297146	ENSMUSP00000098680, ENSMUSP00000065533, ENSMUSP00000053837
ENOG410VA1C	ENSP00000307423	ENSMUSP00000057905
ENOG410VBYP	ENSP00000353270	ENSMUSP00000120456
ENOG410VBT2	ENSP00000369863	ENSMUSP00000078392
ENOG410VBYK	ENSP00000360500	ENSMUSP00000064220
ENOG410WFEU	ENSP00000313121	ENSMUSP00000130116
ENOG410WFET	ENSP00000322652	ENSMUSP00000029047
ENOG410WFEY	ENSP00000398789	ENSMUSP00000038430
ENOG410WFEF	ENSP00000323435	ENSMUSP00000044389
ENOG410WFEM	ENSP00000418593	ENSMUSP00000054137
ENOG410WFE5	ENSP00000432845	ENSMUSP00000134222
ENOG410VK8C	ENSP00000293272	ENSMUSP00000039600
ENOG410V4Y4	ENSP00000386502	ENSMUSP00000106345
ENOG410V4Y5	ENSP00000258648	ENSMUSP00000022705
ENOG410V4Y6	ENSP00000387091	ENSMUSP00000067197
ENOG410V4Y0	ENSP00000291823, ENSP00000385571, ENSP00000304226, ENSP00000358571	ENSMUSP00000029438, ENSMUSP00000124133, ENSMUSP00000103990, ENSMUSP00000028600
ENOG410V4Y1	ENSP00000408405, ENSP00000394390	ENSMUSP00000032709, ENSMUSP00000128070
ENOG410V4Y2	ENSP00000359783, ENSP00000359787	ENSMUSP00000029671, ENSMUSP00000044765
ENOG410V4Y3	ENSP00000283905	ENSMUSP00000031852
ENOG410V4Y8	ENSP00000345492	ENSMUSP00000041611
ENOG410V4Y9	ENSP00000336842	ENSMUSP00000016115
ENOG410V4YD	ENSP00000356357, ENSP00000362717	ENSMUSP00000107657, ENSMUSP00000000253
ENOG410V4YE	ENSP00000373825, ENSP00000261383, ENSP00000401514, ENSP00000237449, ENSP00000311273	ENSMUSP00000042857, ENSMUSP00000104299, ENSMUSP00000068758, ENSMUSP00000092571, ENSMUSP00000043281, ENSMUSP00000068738
ENOG410V4YF	ENSP00000295645	ENSMUSP00000031145
ENOG410V4YG	ENSP00000406084, ENSP00000270223	ENSMUSP00000032570, ENSMUSP00000093059
ENOG410V4YA	ENSP00000319673, ENSP00000463624, ENSP00000461974, ENSP00000358233, ENSP00000399563	ENSMUSP00000029738
ENOG410V4YB	ENSP00000343339	ENSMUSP00000054233
ENOG410V4YM	ENSP00000460075, ENSP00000256443	ENSMUSP00000088845
ENOG410V4YN	ENSP00000383210, ENSP00000347767, ENSP00000233027, ENSP00000424757	ENSMUSP00000106358, ENSMUSP00000126705, ENSMUSP00000057915, ENSMUSP00000034065
ENOG410V4YH	ENSP00000348769	ENSMUSP00000013338
ENOG410V4YI	ENSP00000461014, ENSP00000307208	ENSMUSP00000052303
ENOG410V4YJ	ENSP00000417653	ENSMUSP00000020769
ENOG410V4YK	ENSP00000240185	ENSMUSP00000081142
ENOG410V4YT	ENSP00000319501	ENSMUSP00000031103
ENOG410V4YU	ENSP00000231887	ENSMUSP00000023559
ENOG410V4YV	ENSP00000386738	ENSMUSP00000064410
ENOG410V4YW	ENSP00000351740, ENSP00000341597	ENSMUSP00000104478, ENSMUSP00000031080
ENOG410V4YP	ENSP00000364864, ENSP00000264712, ENSP00000368020	ENSMUSP00000028977, ENSMUSP00000112782, ENSMUSP00000020999
ENOG410V4YQ	ENSP00000316990	ENSMUSP00000036541
ENOG410V4YR	ENSP00000356182	ENSMUSP00000015346
ENOG410V4YS	ENSP00000247470	ENSMUSP00000033056
